,original_index,Grupo_Metabolico
639,11325,2. Transferasas
640,11350,2. Transferasas
641,11352,3. Hidrolasas
642,11355,4. Liasas
643,11360,5. Isomerasas
644,11368,2. Transferasas
645,11382,4. Liasas
646,11384,2. Transferasas
647,11388,3. Hidrolasas
648,11409,3. Hidrolasas
649,11413,2. Transferasas
650,11425,2. Transferasas
651,11433,2. Transferasas
652,11437,2. Transferasas
653,11446,2. Transferasas
654,11459,2. Transferasas
655,11462,2. Transferasas
656,11467,1. Oxidorreductasas
657,11473,2. Transferasas
658,11492,3. Hidrolasas
659,11498,2. Transferasas
660,11501,2. Transferasas
661,11502,2. Transferasas
662,11518,3. Hidrolasas
663,11537,2. Transferasas
664,11539,2. Transferasas
665,11551,2. Transferasas
666,11553,6. Ligasas
667,11573,3. Hidrolasas
668,11577,5. Isomerasas
669,11590,2. Transferasas
670,11601,3. Hidrolasas
671,11602,2. Transferasas
672,11615,7. Translocasas
673,11618,2. Transferasas
674,11619,2. Transferasas
675,11629,2. Transferasas
676,11631,3. Hidrolasas
677,11632,2. Transferasas
678,11648,2. Transferasas
679,11669,3. Hidrolasas
680,11676,3. Hidrolasas
681,11677,3. Hidrolasas
682,11684,3. Hidrolasas
683,11767,2. Transferasas
684,11777,2. Transferasas
685,11794,2. Transferasas
686,11806,3. Hidrolasas
687,11845,2. Transferasas
688,11862,3. Hidrolasas
689,11879,7. Translocasas
690,11881,2. Transferasas
691,11903,2. Transferasas
692,11905,3. Hidrolasas
693,11906,3. Hidrolasas
694,11927,2. Transferasas
695,11936,2. Transferasas
696,11938,2. Transferasas
697,11951,2. Transferasas
698,11957,5. Isomerasas
699,12000,7. Translocasas
700,12001,2. Transferasas
701,12003,3. Hidrolasas
702,12023,2. Transferasas
703,12025,6. Ligasas
704,12056,2. Transferasas
705,12089,3. Hidrolasas
706,12090,3. Hidrolasas
707,12091,2. Transferasas
708,12099,2. Transferasas
709,12120,3. Hidrolasas
710,12136,3. Hidrolasas
711,12141,6. Ligasas
712,12170,3. Hidrolasas
713,12203,2. Transferasas
714,12223,3. Hidrolasas
715,12240,2. Transferasas
716,12246,3. Hidrolasas
717,12265,7. Translocasas
718,12267,2. Transferasas
719,12287,3. Hidrolasas
720,12296,2. Transferasas
721,12299,2. Transferasas
722,12301,3. Hidrolasas
723,12317,2. Transferasas
724,12356,3. Hidrolasas
725,12387,2. Transferasas
726,12388,3. Hidrolasas
727,12411,1. Oxidorreductasas
728,12432,2. Transferasas
729,12434,2. Transferasas
730,12443,7. Translocasas
731,12457,2. Transferasas
732,12529,3. Hidrolasas
733,12533,2. Transferasas
734,12549,4. Liasas
735,12562,2. Transferasas
736,12572,3. Hidrolasas
737,12573,2. Transferasas
738,12592,2. Transferasas
739,12607,1. Oxidorreductasas
740,12608,1. Oxidorreductasas
741,12610,2. Transferasas
742,12622,2. Transferasas
743,12642,2. Transferasas
744,12652,3. Hidrolasas
745,12653,2. Transferasas
746,12663,2. Transferasas
747,12676,3. Hidrolasas
748,12681,1. Oxidorreductasas
749,12689,2. Transferasas
750,12691,6. Ligasas
751,12692,2. Transferasas
752,12694,2. Transferasas
753,12699,3. Hidrolasas
754,12715,3. Hidrolasas
755,12723,3. Hidrolasas
756,12730,2. Transferasas
757,12735,2. Transferasas
758,12741,1. Oxidorreductasas
759,12768,1. Oxidorreductasas
760,12769,1. Oxidorreductasas
761,12775,3. Hidrolasas
762,12802,6. Ligasas
763,12804,2. Transferasas
764,12807,6. Ligasas
765,12829,2. Transferasas
766,12844,2. Transferasas
767,12881,3. Hidrolasas
768,12891,2. Transferasas
769,12931,2. Transferasas
770,12947,2. Transferasas
771,12954,2. Transferasas
772,12958,1. Oxidorreductasas
773,12961,2. Transferasas
774,12976,4. Liasas
775,12977,4. Liasas
776,12978,4. Liasas
777,12979,2. Transferasas
778,12998,1. Oxidorreductasas
779,13006,4. Liasas
780,13015,3. Hidrolasas
781,13016,5. Isomerasas
782,13042,2. Transferasas
783,13061,3. Hidrolasas
784,13086,2. Transferasas
785,13096,2. Transferasas
786,13111,2. Transferasas
787,13115,2. Transferasas
788,13127,1. Oxidorreductasas
789,13142,5. Isomerasas
790,13144,1. Oxidorreductasas
791,13160,2. Transferasas
792,13177,5. Isomerasas
793,13184,3. Hidrolasas
794,13214,2. Transferasas
795,13222,3. Hidrolasas
796,13226,3. Hidrolasas
797,13234,2. Transferasas
798,13253,2. Transferasas
799,13256,3. Hidrolasas
800,13257,3. Hidrolasas
801,13308,6. Ligasas
802,13317,3. Hidrolasas
803,13322,2. Transferasas
804,13331,4. Liasas
805,13360,1. Oxidorreductasas
806,13394,2. Transferasas
807,13406,2. Transferasas
808,13410,2. Transferasas
809,13414,2. Transferasas
810,13432,1. Oxidorreductasas
811,13448,2. Transferasas
812,13450,2. Transferasas
813,13462,3. Hidrolasas
814,13463,4. Liasas
815,13478,4. Liasas
816,13509,2. Transferasas
817,13521,2. Transferasas
818,13583,2. Transferasas
819,13584,2. Transferasas
820,13594,3. Hidrolasas
821,13598,2. Transferasas
822,13602,2. Transferasas
823,13742,2. Transferasas
824,13751,5. Isomerasas
825,13756,2. Transferasas
826,13757,2. Transferasas
827,13758,2. Transferasas
828,13802,3. Hidrolasas
829,13885,3. Hidrolasas
830,13919,3. Hidrolasas
831,13927,2. Transferasas
832,13956,2. Transferasas
833,13964,2. Transferasas
834,14046,2. Transferasas
835,14092,3. Hidrolasas
836,14113,3. Hidrolasas
837,14114,2. Transferasas
838,14150,2. Transferasas
839,14152,2. Transferasas
840,14154,2. Transferasas
841,14156,2. Transferasas
842,14161,3. Hidrolasas
843,14168,3. Hidrolasas
844,14185,1. Oxidorreductasas
845,14299,2. Transferasas
846,14308,2. Transferasas
847,14309,2. Transferasas
848,14374,2. Transferasas
849,14422,3. Hidrolasas
850,14453,2. Transferasas
851,14458,2. Transferasas
852,14498,2. Transferasas
853,14581,3. Hidrolasas
854,14586,2. Transferasas
855,14588,4. Liasas
856,14592,1. Oxidorreductasas
857,14610,3. Hidrolasas
858,14611,2. Transferasas
859,14615,5. Isomerasas
860,14632,2. Transferasas
861,14635,3. Hidrolasas
862,14638,2. Transferasas
863,14652,2. Transferasas
864,14663,3. Hidrolasas
865,14667,2. Transferasas
866,14668,2. Transferasas
867,14684,3. Hidrolasas
868,14688,3. Hidrolasas
869,14702,2. Transferasas
870,14706,2. Transferasas
871,14713,2. Transferasas
872,14714,2. Transferasas
873,14734,2. Transferasas
874,14740,3. Hidrolasas
875,14761,2. Transferasas
876,14767,3. Hidrolasas
877,14768,3. Hidrolasas
878,14770,3. Hidrolasas
879,14771,3. Hidrolasas
880,14814,3. Hidrolasas
881,14820,3. Hidrolasas
882,14837,3. Hidrolasas
883,14842,1. Oxidorreductasas
884,14882,5. Isomerasas
885,14899,2. Transferasas
886,14906,2. Transferasas
887,14922,3. Hidrolasas
888,14942,7. Translocasas
889,14980,2. Transferasas
890,14986,1. Oxidorreductasas
891,14998,4. Liasas
892,15003,2. Transferasas
893,15038,2. Transferasas
894,15040,2. Transferasas
895,15077,1. Oxidorreductasas
896,15088,2. Transferasas
